crop_name,soil_type,seedling_stage,moi,temp,humidity,result,growth_stage_order,moi_temp_ratio,moi_humidity_index
Wheat,Black Soil,Germination,1,25,80.0,1,1,0.04,0.8
Wheat,Black Soil,Germination,2,26,77.0,1,1,0.0769,1.54
Wheat,Black Soil,Germination,3,27,74.0,1,1,0.1111,2.22
Wheat,Black Soil,Germination,4,28,71.0,1,1,0.1429,2.84
Wheat,Black Soil,Germination,5,29,68.0,1,1,0.1724,3.4
Wheat,Black Soil,Germination,6,30,65.0,1,1,0.2,3.9
Wheat,Black Soil,Germination,7,31,62.0,1,1,0.2258,4.34
Wheat,Black Soil,Germination,8,32,59.0,1,1,0.25,4.72
Wheat,Black Soil,Germination,9,33,56.0,1,1,0.2727,5.04
Wheat,Black Soil,Germination,10,34,53.0,1,1,0.2941,5.3
Wheat,Black Soil,Germination,11,35,50.0,1,1,0.3143,5.5
Wheat,Black Soil,Germination,12,36,47.0,1,1,0.3333,5.64
Wheat,Black Soil,Germination,13,37,44.0,1,1,0.3514,5.72
Wheat,Black Soil,Germination,14,38,41.0,1,1,0.3684,5.74
Wheat,Black Soil,Germination,15,39,38.0,1,1,0.3846,5.7
Wheat,Black Soil,Germination,16,40,35.0,1,1,0.4,5.6
Wheat,Black Soil,Germination,17,41,32.0,1,1,0.4146,5.44
Wheat,Black Soil,Germination,18,42,29.0,1,1,0.4286,5.22
Wheat,Black Soil,Germination,19,43,26.0,1,1,0.4419,4.94
Wheat,Black Soil,Germination,20,44,23.0,1,1,0.4545,4.6
Wheat,Black Soil,Germination,21,45,20.0,1,1,0.4667,4.2
Wheat,Black Soil,Germination,22,46,17.0,1,1,0.4783,3.74
Wheat,Black Soil,Germination,23,25,80.0,1,1,0.92,18.4
Wheat,Black Soil,Germination,24,26,77.5,1,1,0.9231,18.6
Wheat,Black Soil,Germination,25,27,75.0,1,1,0.9259,18.75
Wheat,Black Soil,Germination,26,28,72.5,1,1,0.9286,18.85
Wheat,Black Soil,Germination,27,29,70.0,1,1,0.931,18.9
Wheat,Black Soil,Germination,28,30,67.5,1,1,0.9333,18.9
Wheat,Black Soil,Germination,29,31,65.0,1,1,0.9355,18.85
Wheat,Black Soil,Germination,30,32,62.5,1,1,0.9375,18.75
Wheat,Black Soil,Germination,41,43,35.0,0,1,0.9535,14.35
Wheat,Black Soil,Germination,42,44,32.5,0,1,0.9545,13.65
Wheat,Black Soil,Germination,43,45,30.0,0,1,0.9556,12.9
Wheat,Black Soil,Germination,44,46,27.5,0,1,0.9565,12.1
Wheat,Black Soil,Germination,45,25,80.0,0,1,1.8,36.0
Wheat,Black Soil,Germination,46,26,77.3,0,1,1.7692,35.558
Wheat,Black Soil,Germination,47,27,74.6,0,1,1.7407,35.062
Wheat,Black Soil,Germination,48,28,71.9,0,1,1.7143,34.512
Wheat,Black Soil,Germination,49,29,69.2,0,1,1.6897,33.908
Wheat,Black Soil,Germination,50,30,66.5,0,1,1.6667,33.25
Wheat,Black Soil,Germination,51,31,63.8,0,1,1.6452,32.538
Wheat,Black Soil,Germination,52,32,61.1,0,1,1.625,31.772
Wheat,Black Soil,Germination,53,33,58.4,0,1,1.6061,30.952
Wheat,Black Soil,Germination,54,34,55.7,0,1,1.5882,30.078
Wheat,Black Soil,Germination,55,35,53.0,0,1,1.5714,29.15
Wheat,Black Soil,Germination,56,36,50.3,0,1,1.5556,28.168
Wheat,Black Soil,Germination,57,37,47.6,0,1,1.5405,27.132
Wheat,Black Soil,Germination,58,38,44.9,0,1,1.5263,26.042
Wheat,Black Soil,Germination,59,39,42.2,0,1,1.5128,24.898
Wheat,Black Soil,Germination,60,40,39.5,0,1,1.5,23.7
Wheat,Black Soil,Germination,61,41,36.8,0,1,1.4878,22.448
